timestamp,views_count,views_uniques,clones_count,clones_uniques
2024-06-20,60.0,4.0,8.0,1.0
2024-06-21,10.0,2.0,10.0,2.0
2024-06-22,103.0,9.0,68.0,14.0
2024-06-23,73.0,34.0,1.0,1.0
2024-06-24,133.0,28.0,49.0,15.0
2024-06-25,13.0,4.0,1.0,1.0
2024-06-27,25.0,5.0,4.0,1.0
2024-06-28,26.0,9.0,6.0,3.0
2024-06-30,3.0,3.0,1.0,1.0
2024-07-23,1.0,1.0,1.0,1.0
2024-08-01,12.0,2.0,0.0,0.0
2024-08-02,7.0,2.0,3.0,3.0
2024-08-03,0.0,0.0,0.0,0.0
2024-08-04,5.0,1.0,0.0,0.0
2024-08-05,0.0,0.0,0.0,0.0
2024-08-06,1.0,1.0,0.0,0.0
2024-08-07,0.0,0.0,0.0,0.0
2024-08-08,0.0,0.0,0.0,0.0
2024-08-09,0.0,0.0,0.0,0.0
2024-08-10,0.0,0.0,0.0,0.0
2024-08-11,0.0,0.0,0.0,0.0
2024-08-12,18.0,2.0,0.0,0.0
2024-08-13,14.0,5.0,0.0,0.0
2024-08-14,1.0,1.0,0.0,0.0
2024-08-15,8.0,3.0,0.0,0.0
2024-08-16,3.0,3.0,1.0,1.0
2024-08-17,1.0,1.0,0.0,0.0
2024-08-18,4.0,1.0,0.0,0.0
2024-08-19,0.0,0.0,0.0,0.0
2024-08-20,7.0,3.0,3.0,3.0
2024-08-21,0.0,0.0,0.0,0.0
2024-08-22,6.0,3.0,3.0,3.0
2024-08-23,3.0,1.0,1.0,1.0
2024-08-24,0.0,0.0,0.0,0.0
2024-08-25,0.0,0.0,0.0,0.0
2024-08-26,10.0,3.0,0.0,0.0
2024-08-27,0.0,0.0,0.0,0.0
2024-08-28,3.0,1.0,0.0,0.0
2024-08-29,1.0,1.0,0.0,0.0
2024-08-30,2.0,2.0,0.0,0.0
2024-08-31,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0,0.0
2024-09-03,3.0,3.0,0.0,0.0
2024-09-04,1.0,1.0,1.0,1.0
2024-09-05,0.0,0.0,0.0,0.0
2024-09-06,6.0,1.0,3.0,2.0
2024-09-07,0.0,0.0,0.0,0.0
2024-09-08,0.0,0.0,0.0,0.0
2024-09-09,3.0,1.0,1.0,1.0
2024-09-10,1.0,1.0,0.0,0.0
2024-09-11,0.0,0.0,0.0,0.0
2024-09-12,25.0,4.0,0.0,0.0
2024-09-13,31.0,3.0,0.0,0.0
2024-09-14,5.0,2.0,0.0,0.0
2024-09-15,0.0,0.0,0.0,0.0
2024-09-16,19.0,2.0,0.0,0.0
2024-09-17,2.0,2.0,0.0,0.0
2024-09-18,3.0,3.0,0.0,0.0
2024-09-19,1.0,1.0,0.0,0.0
2024-09-20,2.0,2.0,0.0,0.0
2024-09-21,0.0,0.0,0.0,0.0
2024-09-22,0.0,0.0,0.0,0.0
2024-09-23,8.0,1.0,0.0,0.0
2024-09-24,0.0,0.0,0.0,0.0
2024-09-25,4.0,2.0,0.0,0.0
2024-09-26,3.0,2.0,0.0,0.0
2024-09-27,1.0,1.0,0.0,0.0
2024-09-28,0.0,0.0,0.0,0.0
2024-09-29,0.0,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0,0.0
2024-10-01,2.0,1.0,0.0,0.0
2024-10-02,16.0,8.0,0.0,0.0
2024-10-03,4.0,2.0,0.0,0.0
2024-10-04,0.0,0.0,0.0,0.0
2024-10-05,0.0,0.0,0.0,0.0
2024-10-06,3.0,2.0,0.0,0.0
2024-10-07,5.0,2.0,0.0,0.0
2024-10-08,3.0,3.0,0.0,0.0
2024-10-09,10.0,6.0,0.0,0.0
2024-10-10,2.0,2.0,0.0,0.0
2024-10-11,0.0,0.0,0.0,0.0
2024-10-12,0.0,0.0,0.0,0.0
2024-10-13,0.0,0.0,0.0,0.0
2024-10-14,5.0,1.0,0.0,0.0
2024-10-15,7.0,2.0,1.0,1.0
2024-10-16,10.0,1.0,0.0,0.0
2024-10-17,4.0,1.0,0.0,0.0
2024-10-18,3.0,1.0,0.0,0.0
2024-10-19,0.0,0.0,0.0,0.0
2024-10-20,0.0,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0,0.0
2024-10-22,0.0,0.0,0.0,0.0
2024-10-23,0.0,0.0,0.0,0.0
2024-10-24,0.0,0.0,0.0,0.0
2024-10-25,0.0,0.0,0.0,0.0
2024-10-26,0.0,0.0,0.0,0.0
2024-10-27,0.0,0.0,0.0,0.0
2024-10-28,2.0,2.0,0.0,0.0
2024-10-29,18.0,3.0,0.0,0.0
2024-10-30,4.0,1.0,0.0,0.0
2024-10-31,3.0,2.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0
2024-11-02,0.0,0.0,1.0,1.0
2024-11-03,0.0,0.0,0.0,0.0
2024-11-04,9.0,1.0,0.0,0.0
2024-11-05,11.0,2.0,0.0,0.0
2024-11-06,0.0,0.0,0.0,0.0
2024-11-07,4.0,1.0,0.0,0.0
2024-11-08,5.0,1.0,0.0,0.0
2024-11-09,5.0,2.0,0.0,0.0
2024-11-10,0.0,0.0,0.0,0.0
2024-11-11,0.0,0.0,0.0,0.0
2024-11-12,1.0,1.0,0.0,0.0
2024-11-13,0.0,0.0,0.0,0.0
2024-11-14,14.0,1.0,0.0,0.0
2024-11-15,7.0,2.0,0.0,0.0
2024-11-16,0.0,0.0,0.0,0.0
2024-11-17,0.0,0.0,0.0,0.0
2024-11-18,2.0,1.0,2.0,1.0
2024-11-19,0.0,0.0,0.0,0.0
2024-11-20,5.0,2.0,0.0,0.0
2024-11-21,0.0,0.0,0.0,0.0
